"County","State","Outbreak Date","Flock Type","Flock Size"
"Johnston","North Carolina","04-02-2022","Commercial Turkey Meat Bird","9500"
"Humboldt","Iowa","04-02-2022","Commercial Table Egg Breeder","15300"
"Edmunds","South Dakota","04-01-2022","Commercial Turkey Breeder Replacement Hens","30600"
"Jasper","Missouri","04-01-2022","Commercial Turkey Meat Bird","35300"
"Rock","Wisconsin","04-01-2022","WOAH Non-Poultry","20"
"Fremont","Wyoming","04-01-2022","WOAH Non-Poultry","50"
"Charles Mix","South Dakota","04-01-2022","Commercial Turkey Meat Bird","81500"
"Dickey","North Dakota","04-01-2022","Commercial Turkey Meat Bird","60700"
"Mcpherson","South Dakota","03-31-2022","Commercial Turkey Breeder Hens","26000"
"Stearns","Minnesota","03-31-2022","WOAH Non-Poultry","150"
"Osceola","Iowa","03-31-2022","Commercial Table Egg Layer","5011700"
"Cherokee","Iowa","03-31-2022","Commercial Turkey Meat Bird","88000"
"Dickey","North Dakota","03-31-2022","WOAH Poultry","30"
"Carroll","Illinois","03-31-2022","WOAH Non-Poultry","40"
"Morrison","Minnesota","03-31-2022","Commercial Turkey Meat Bird","52600"
"Umatilla","Oregon","03-30-2023","WOAH Non-Poultry","50"
"Brule","South Dakota","03-30-2022","Commercial Turkey Meat Bird","55100"
"Buena Vista","Iowa","03-30-2022","Commercial Turkey Meat Bird","35600"
"Lincoln","Maine","03-30-2022","WOAH Non-Poultry","3"
"Park","Wyoming","03-30-2022","WOAH Non-Poultry","40"
"Lac Qui Parle","Minnesota","03-29-2022","Commercial Turkey Meat Bird","22500"
"Knox","Maine","03-29-2022","WOAH Non-Poultry","40"
"Johnson","Wyoming","03-29-2022","WOAH Non-Poultry","40"
"Spink","South Dakota","03-29-2022","Commercial Turkey Meat Bird","45900"
"Edmunds","South Dakota","03-29-2022","Commercial Turkey Breeder Hens","21900"
"Kidder","North Dakota","03-29-2022","WOAH Poultry","30"
"Monroe","New York","03-29-2022","WOAH Poultry","400"
"Bon Homme","South Dakota","03-29-2022","Commercial Turkey Meat Bird","48200"
"Franklin","Ohio","03-29-2022","WOAH Non-Poultry","8"
"Johnston","North Carolina","03-29-2022","Commercial Turkey Meat Bird","32100"
"Berkshire","Massachusetts","03-29-2022","WOAH Non-Poultry","260"
"Kandiyohi","Minnesota","03-29-2022","Commercial Turkey Meat Bird","39500"
"Guilford","North Carolina","03-28-2024","WOAH Non-Poultry","80"
"Yuma","Colorado","03-28-2023","WOAH Poultry","310"
"Hamilton","Iowa","03-28-2022","Commercial Turkey Meat Bird","25800"
"Guthrie","Iowa","03-28-2022","Commercial Table Egg Layer","1460000"
"Mcpherson","South Dakota","03-27-2022","Commercial Turkey Meat Bird","43900"
"Hutchinson","South Dakota","03-27-2022","Commercial Turkey Meat Bird","39200"
"Clark","South Dakota","03-27-2022","Commercial Turkey Meat Bird","43100"
"Holt","Nebraska","03-26-2022","WOAH Non-Poultry","50"
"Meeker","Minnesota","03-26-2022","Commercial Turkey Meat Bird","287500"
"Bon Homme","South Dakota","03-26-2022","WOAH Non-Poultry","230"
"Gentry","Missouri","03-26-2022","WOAH Non-Poultry","140"
"Washington","Maine","03-26-2022","WOAH Non-Poultry","20"
"Stearns","Minnesota","03-26-2022","Commercial Turkey Meat Bird","23500"
"Mower","Minnesota","03-26-2022","WOAH Non-Poultry","20"
"Suffolk","New York","03-25-2022","WOAH Poultry","290"
"Franklin","Iowa","03-25-2022","Commercial Table Egg Pullets","250200"
"Hutchinson","South Dakota","03-25-2022","Commercial Turkey Meat Bird","45800"
"Mitchell","Kansas","03-25-2022","WOAH Non-Poultry","20"
"Ellsworth","Kansas","03-24-2023","WOAH Non-Poultry","50"
"Arapahoe","Colorado","03-24-2023","WOAH Non-Poultry","10"
"Macomb","Michigan","03-24-2022","WOAH Non-Poultry","70"
"Buena Vista","Iowa","03-24-2022","Commercial Turkey Meat Bird","53800"
"Jerauld","South Dakota","03-24-2022","Commercial Turkey Meat Bird","44000"
"Butler","Nebraska","03-24-2022","Commercial Broiler Production","418500"
"Lapeer","Michigan","03-23-2023","WOAH Poultry","950"
"Suffolk","New York","03-23-2022","Commercial Upland Gamebird Producer","8500"
"Edmunds","South Dakota","03-23-2022","Commercial Turkey Breeder Hens","30800"
"Beadle","South Dakota","03-23-2022","Commercial Turkey Meat Bird","49900"
"Kingsbury","South Dakota","03-23-2022","Commercial Table Egg Layer","120300"
"Klamath","Oregon","03-22-2023","WOAH Non-Poultry","30"
"Hale","Texas","03-22-2023","WOAH Non-Poultry","20"
"Tompkins","New York","03-22-2023","WOAH Poultry","6500"
"Queens","New York","03-22-2023","Live Bird Market","140"
"Spink","South Dakota","03-22-2023","Commercial Upland Gamebird Producer","570"
"Cumberland","Maine","03-22-2022","WOAH Poultry","250"
"Beadle","South Dakota","03-22-2022","Commercial Turkey Meat Bird","29400"
"Charles Mix","South Dakota","03-22-2022","Commercial Turkey Meat Bird","53800"
"Hanson","South Dakota","03-22-2022","Commercial Turkey Meat Bird","94600"
"Butler","Nebraska","03-22-2022","Commercial Broiler Production","570000"
"Hillsborough","Florida","03-21-2023","Live Bird Market","340"
"Washington","New York","03-21-2023","WOAH Non-Poultry","50"
"Deaf Smith","Texas","03-20-2024","WOAH Non-Poultry","50"
"Warren","Iowa","03-20-2022","WOAH Non-Poultry","10"
"Hutchinson","South Dakota","03-20-2022","Commercial Turkey Meat Bird","50400"
"Knox","Maine","03-19-2022","WOAH Non-Poultry","20"
"York","Maine","03-19-2022","WOAH Non-Poultry","70"
"Knox","Maine","03-18-2024","WOAH Non-Poultry","40"
"Hanson","South Dakota","03-18-2022","Commercial Turkey Meat Bird","20200"
"Dickinson","Kansas","03-18-2022","WOAH Poultry","250"
"Kingsbury","South Dakota","03-18-2022","Commercial Turkey Meat Bird","39200"
"Cecil","Maryland","03-18-2022","Commercial Table Egg Pullets","315400"
"Lancaster","Pennsylvania","03-17-2023","WOAH Poultry","2500"
"Lincoln","Maine","03-17-2022","WOAH Non-Poultry","30"
"Buena Vista","Iowa","03-17-2022","Commercial Table Egg Layer","5347500"
"Kent","Delaware","03-17-2022","Commercial Broiler Production","147800"
"Sedgwick","Kansas","03-17-2022","WOAH Non-Poultry","6"
"Maries","Missouri","03-16-2023","WOAH Non-Poultry","10"
"Monroe","Mississippi","03-16-2023","WOAH Non-Poultry","30"
"Chester","Pennsylvania","03-16-2023","Commercial Turkey Meat Bird","11800"
"Lancaster","Pennsylvania","03-16-2023","WOAH Poultry","1600"
"Lancaster","Pennsylvania","03-16-2023","WOAH Poultry","2400"
"Rockingham","New Hampshire","03-16-2022","WOAH Non-Poultry","150"
"Mifflin","Pennsylvania","03-15-2023","WOAH Non-Poultry","60"
"Chickasaw","Iowa","03-15-2023","WOAH Non-Poultry","50"
"Ralls","Missouri","03-15-2022","WOAH Non-Poultry","100"
"Merrick","Nebraska","03-15-2022","WOAH Non-Poultry","90"
"Klamath","Oregon","03-14-2024","WOAH Non-Poultry","10"
"Lancaster","Pennsylvania","03-14-2023","WOAH Poultry","2400"
"Lancaster","Pennsylvania","03-14-2023","WOAH Poultry","3900"
"Eaton","Michigan","03-14-2023","WOAH Non-Poultry","20"
"Lancaster","Pennsylvania","03-14-2023","WOAH Poultry","2400"
"Lancaster","Pennsylvania","03-14-2023","WOAH Poultry","3000"
"Lancaster","Pennsylvania","03-14-2023","WOAH Poultry","3000"
"Jefferson","Wisconsin","03-14-2022","Commercial Table Egg Layer","2750700"
"York","Maine","03-14-2022","WOAH Non-Poultry","180"
"Lancaster","Pennsylvania","03-13-2023","WOAH Poultry","6000"
"Hutchinson","South Dakota","03-12-2024","Commercial Turkey Meat Bird","31200"
"Lincoln","Maine","03-12-2022","WOAH Non-Poultry","100"
"Charles Mix","South Dakota","03-12-2022","Commercial Turkey Meat Bird","37500"
"Moore","Texas","03-11-2024","WOAH Non-Poultry","280"
"Clay","Minnesota","03-11-2024","WOAH Non-Poultry","80"
"Franklin","Kansas","03-11-2022","WOAH Poultry","260"
"Mclean","Illinois","03-11-2022","WOAH Non-Poultry","40"
"Cecil","Maryland","03-10-2022","Commercial Table Egg Layer","663400"
"Taylor","Iowa","03-10-2022","Commercial Table Egg Layer","915900"
"Lawrence","Missouri","03-09-2022","Commercial Turkey Breeder Replacement Hens","37800"
"New Castle","Delaware","03-08-2022","Commercial Table Egg Pullets","243900"
"Jasper","Missouri","03-08-2022","Commercial Turkey Meat Bird","25000"
"Queen Anne's","Maryland","03-08-2022","Commercial Broiler Production","139300"
"Essex","Massachusetts","03-07-2024","WOAH Poultry","70"
"Rockingham","Virginia","03-07-2023","WOAH Non-Poultry","250"
"Lancaster","Pennsylvania","03-06-2023","WOAH Poultry","1800"
"Bingham","Idaho","03-06-2023","WOAH Non-Poultry","10"
"Lancaster","Pennsylvania","03-06-2023","WOAH Poultry","6000"
"Bucks","Pennsylvania","03-06-2023","WOAH Poultry","1700"
"Lancaster","Pennsylvania","03-06-2023","WOAH Poultry","310"
"Buena Vista","Iowa","03-06-2022","Commercial Turkey Meat Bird","49800"
"Charles Mix","South Dakota","03-05-2022","Commercial Turkey Meat Bird","44100"
"Chester","Pennsylvania","03-04-2023","WOAH Poultry","6900"
"Lancaster","Pennsylvania","03-04-2023","Commercial Turkey Meat Bird","19600"
"Lancaster","Pennsylvania","03-04-2023","Commercial Turkey Meat Bird","26600"
"Northumberland","Pennsylvania","03-04-2023","WOAH Poultry","680"
"Lancaster","Pennsylvania","03-04-2023","Commercial Duck Breeder","11300"
"Cecil","Maryland","03-04-2022","Commercial Table Egg Layer","644000"
"Stoddard","Missouri","03-04-2022","Commercial Broiler Production","294800"
"Bates","Missouri","03-04-2022","WOAH Non-Poultry","50"
"Douglas","Nevada","03-03-2023","WOAH Non-Poultry","20"
"Chester","Pennsylvania","03-03-2023","WOAH Poultry","5200"
"Dubois","Indiana","03-02-2022","Commercial Turkey Meat Bird","16500"
"Pottawattamie","Iowa","03-01-2022","WOAH Non-Poultry","40"
"New London","Connecticut","03-01-2022","WOAH Non-Poultry","160"
"Miami-dade","Florida","02-28-2023","Live Bird Market","510"
"Mahoning","Ohio","02-27-2024","WOAH Non-Poultry","140"
"Stevens","Minnesota","02-27-2024","WOAH Non-Poultry","20"
"Lancaster","Pennsylvania","02-27-2023","WOAH Poultry","4400"
"Monroe","New York","02-26-2024","WOAH Non-Poultry","20"
"Chester","Pennsylvania","02-24-2023","WOAH Poultry","3400"
"Lancaster","Pennsylvania","02-24-2023","WOAH Poultry","4000"
"Wayne","Illinois","02-24-2023","Commercial Turkey Meat Bird","18200"
"Ulster","New York","02-24-2022","WOAH Non-Poultry","70"
"Dutchess","New York","02-24-2022","WOAH Non-Poultry","200"
"Dubois","Indiana","02-24-2022","Commercial Turkey Meat Bird","36000"
"Onondaga","New York","02-23-2024","WOAH Non-Poultry","10"
"Allen","Indiana","02-23-2024","WOAH Non-Poultry","50"
"Dallas","Missouri","02-23-2024","WOAH Poultry","20300"
"Lancaster","Pennsylvania","02-23-2023","WOAH Poultry","2000"
"Moffat","Colorado","02-23-2023","WOAH Non-Poultry","40"
"Alexandria City","Virginia","02-23-2023","Live Bird Market","800"
"Knox","Maine","02-23-2022","WOAH Non-Poultry","100"
"Greene","Indiana","02-23-2022","Commercial Turkey Meat Bird","15400"
"Kalamazoo","Michigan","02-23-2022","WOAH Non-Poultry","30"
"Greene","Indiana","02-23-2022","Commercial Turkey Meat Bird","48200"
"Charles","Maryland","02-22-2024","WOAH Non-Poultry","30"
"Lancaster","Pennsylvania","02-22-2023","WOAH Poultry","4200"
"New Castle","Delaware","02-22-2022","Commercial Table Egg Layer","1046900"
"Dallas","Missouri","02-21-2024","Commercial Turkey Meat Bird","28500"
"Dallas","Missouri","02-21-2024","Commercial Turkey Meat Bird","12300"
"Franklin","Ohio","02-21-2024","WOAH Non-Poultry","10"
"Dallas","Missouri","02-21-2024","Commercial Turkey Meat Bird","31000"
"Lancaster","Pennsylvania","02-21-2023","Commercial Broiler Production","97700"
"Lincoln","Nebraska","02-21-2023","WOAH Poultry","420"
"Duplin","North Carolina","02-20-2024","Commercial Turkey Meat Bird","20900"
"Knox","Maine","02-19-2022","WOAH Non-Poultry","30"
"Suffolk","New York","02-18-2022","WOAH Non-Poultry","8"
"Copiah","Mississippi","02-17-2023","WOAH Poultry","50"
"San Joaquin","California","02-17-2023","WOAH Non-Poultry","160"
"Tioga","Pennsylvania","02-17-2023","WOAH Non-Poultry","50"
"Kanawha","West Virginia","02-16-2024","WOAH Non-Poultry","250"
"Dubois","Indiana","02-16-2022","Commercial Turkey Meat Bird","26600"
"Columbia","New York","02-15-2023","WOAH Poultry","250"
"Webster","Kentucky","02-15-2022","Commercial Turkey Meat Bird","53300"
"Hillsborough","Florida","02-14-2023","WOAH Non-Poultry","10"
"Benton","Washington","02-14-2023","WOAH Non-Poultry","60"
"Carroll","Missouri","02-13-2023","WOAH Non-Poultry","9"
"Doniphan","Kansas","02-13-2023","WOAH Non-Poultry","30"
"Twin Falls","Idaho","02-12-2024","WOAH Non-Poultry","20"
"Schuylkill","Pennsylvania","02-12-2024","WOAH Non-Poultry","30"
"Fauquier","Virginia","02-12-2022","WOAH Non-Poultry","90"
"Fulton","Kentucky","02-12-2022","Commercial Broiler Production","231400"
"Lenoir","North Carolina","02-09-2024","Commercial Turkey Meat Bird","32400"
"Owyhee","Idaho","02-08-2024","WOAH Non-Poultry","9"
"Delta","Colorado","02-08-2024","Commercial Broiler Breeder","66500"
"Miami-dade","Florida","02-08-2024","Live Bird Market","1500"
"Lancaster","Pennsylvania","02-08-2023","WOAH Poultry","20300"
"Mitchell","Kansas","02-08-2023","Commercial Upland Gamebird Producer","17000"
"Dubois","Indiana","02-08-2022","Commercial Turkey Meat Bird","29000"
"Allegheny","Pennsylvania","02-07-2023","WOAH Non-Poultry","20"
"Leake","Mississippi","02-07-2023","Commercial Broiler Production","89800"
"Essex","Massachusetts","02-06-2024","WOAH Non-Poultry","20"
"Wayne","Pennsylvania","02-06-2024","WOAH Non-Poultry","360"
"Gage","Nebraska","02-06-2024","Commercial Broiler Production","102000"
"Merced","California","02-06-2023","Commercial Duck Breeder","29100"
"Placer","California","02-06-2023","WOAH Non-Poultry","30"
"Hancock","Maine","02-06-2023","WOAH Non-Poultry","30"
"Kennebec","Maine","02-06-2023","WOAH Non-Poultry","40"
"Park","Wyoming","02-06-2023","WOAH Non-Poultry","10"
"San Joaquin","California","02-06-2023","WOAH Non-Poultry","8"
"Lancaster","Pennsylvania","02-01-2023","WOAH Poultry","2700"
"Lancaster","Pennsylvania","02-01-2023","Commercial Duck Meat Bird","32800"
"Placer","California","01-31-2024","WOAH Non-Poultry","20"
"Merced","California","01-29-2025","Commercial Duck Meat Bird","92400"
"Madera","California","01-29-2025","Commercial Duck Meat Bird","69500"
"Jackson","Indiana","01-28-2025","Commercial Table Egg Layer","586100"
"Lehigh","Pennsylvania","01-28-2025","WOAH Poultry","47900"
"Mcdonald","Missouri","01-28-2025","Commercial Broiler Breeder","0"
"Newton","Missouri","01-28-2025","Commercial Turkey Meat Bird","14300"
"Kent","Delaware","01-28-2025","Commercial Broiler Production","145800"
"Sampson","North Carolina","01-28-2025","Commercial Turkey Breeder Hens","24100"
"Shelby","Indiana","01-28-2025","WOAH Non-Poultry","0"
"Adams","Indiana","01-27-2025","Commercial Turkey Meat Bird","19900"
"Mercer","Ohio","01-27-2025","Commercial Turkey Meat Bird","5100"
"Mercer","Ohio","01-27-2025","Commercial Turkey Meat Bird","12600"
"Mercer","Ohio","01-27-2025","Commercial Turkey Meat Bird","9300"
"Ulster","New York","01-27-2025","WOAH Non-Poultry","8"
"Kearney","Nebraska","01-27-2025","WOAH Non-Poultry","90"
"Mercer","Ohio","01-27-2025","Commercial Duck Meat Bird","12600"
"Pinal","Arizona","01-27-2025","Commercial Table Egg Layer","316600"
"Hancock","Maine","01-27-2023","WOAH Non-Poultry","40"
"De Soto","Florida","01-26-2024","WOAH Non-Poultry","660"
"Kennebec","Maine","01-25-2024","WOAH Non-Poultry","40"
"Daviess","Indiana","01-25-2024","Commercial Turkey Meat Bird","13100"
"Buena Vista","Iowa","01-25-2023","Commercial Turkey Meat Bird","27700"
"Polk","Oregon","01-25-2023","WOAH Non-Poultry","20"
"Rockingham","Virginia","01-25-2023","Commercial Turkey Meat Bird","11100"
"Rowan","North Carolina","01-25-2023","WOAH Non-Poultry","2"
"Suffolk","New York","01-25-2023","WOAH Non-Poultry","10"
"Newton","Missouri","01-24-2025","Commercial Table Egg Layer","1149400"
"Franklin","Washington","01-24-2025","Commercial Table Egg Layer","307800"
"Cleveland","Arkansas","01-24-2025","Commercial Broiler Breeder","19500"
"Allen","Indiana","01-24-2025","Commercial Table Egg Layer","26100"
"Mercer","Ohio","01-24-2025","Commercial Turkey Meat Bird","9500"
"Darke","Ohio","01-24-2025","Commercial Turkey Meat Bird","22300"
"Mercer","Ohio","01-24-2025","Commercial Turkey Meat Bird","18500"
"Mercer","Ohio","01-24-2025","Commercial Turkey Meat Bird","19600"
"Plymouth","Massachusetts","01-24-2025","WOAH Non-Poultry","30"
"Darke","Ohio","01-24-2025","Commercial Table Egg Layer","1818000"
"Mercer","Ohio","01-24-2025","Commercial Turkey Meat Bird","5100"
"Mcdonald","Missouri","01-24-2025","Primary Broiler Breeder Pedigree Farm","650"
"Wadena","Minnesota","01-24-2025","Commercial Turkey Meat Bird","300600"
"New Haven","Connecticut","01-24-2025","WOAH Non-Poultry","30"
"Orange","Florida","01-24-2025","WOAH Non-Poultry","1"
"Windsor","Vermont","01-24-2025","WOAH Non-Poultry","20"
"Washington","Rhode Island","01-24-2025","WOAH Non-Poultry","50"
"Mercer","Ohio","01-23-2025","Commercial Table Egg Layer","1468900"
"Mercer","Ohio","01-23-2025","Commercial Turkey Meat Bird","11200"
"Darke","Ohio","01-23-2025","Commercial Table Egg Pullets","349200"
"Mercer","Ohio","01-23-2025","Commercial Table Egg Layer","85000"
"Yolo","California","01-23-2025","WOAH Non-Poultry","6"
"Edmunds","South Dakota","01-23-2024","Commercial Upland Gamebird Producer","22200"
"Belknap","New Hampshire","01-23-2023","WOAH Non-Poultry","40"
"Jasper","Missouri","01-22-2025","Commercial Turkey Meat Bird","49400"
"Cleveland","Arkansas","01-22-2025","Commercial Broiler Production","106900"
"Dorchester","Maryland","01-22-2025","Commercial Broiler Production","143900"
"Newton","Missouri","01-22-2025","Commercial Turkey Meat Bird","21300"
"Lawrence","Missouri","01-22-2025","Commercial Turkey Meat Bird","52400"
"Cook","Illinois","01-22-2025","WOAH Poultry","500"
"Newton","Missouri","01-22-2025","Commercial Turkey Meat Bird","23000"
"Orangeburg","South Carolina","01-22-2024","WOAH Non-Poultry","40"
"Mitchell","Kansas","01-22-2024","Commercial Upland Gamebird Producer","5800"
"Accomack","Virginia","01-21-2025","Commercial Broiler Production","441000"
"Elbert","Georgia","01-21-2025","Commercial Broiler Production","130400"
"Caroline","Maryland","01-21-2025","Commercial Broiler Production","108400"
"Umatilla","Oregon","01-21-2025","WOAH Non-Poultry","50"
"Newton","Missouri","01-21-2025","Commercial Table Egg Layer","1175800"
"Weakley","Tennessee","01-20-2023","Commercial Broiler Production","267800"
"Larimer","Colorado","01-20-2023","WOAH Non-Poultry","70"
"Rockingham","Virginia","01-19-2023","Commercial Turkey Meat Bird","25300"
"El Dorado","California","01-19-2023","WOAH Non-Poultry","20"
"Snohomish","Washington","01-19-2023","WOAH Non-Poultry","20"
"Merced","California","01-18-2024","Commercial Table Egg Pullets","285600"
"Licking","Ohio","01-18-2023","WOAH Non-Poultry","30"
"Lampasas","Texas","01-18-2023","WOAH Poultry","70"
"Darke","Ohio","01-17-2025","Commercial Table Egg Pullets","196000"
"Suffolk","New York","01-17-2025","Commercial Duck Meat Bird","101000"
"Jay","Indiana","01-17-2025","Commercial Turkey Meat Bird","18800"
"Elbert","Georgia","01-17-2025","Commercial Broiler Breeder","45500"
"Darke","Ohio","01-17-2025","Commercial Table Egg Layer","103200"
"Horry","South Carolina","01-17-2024","WOAH Non-Poultry","190"
"Mitchell","Kansas","01-17-2023","Commercial Upland Gamebird Producer","6900"
"Wayne","Michigan","01-16-2025","WOAH Non-Poultry","120"
"Queen Anne's","Maryland","01-16-2025","Commercial Broiler Production","146900"
"Greene","Tennessee","01-16-2025","WOAH Non-Poultry","30"
"Dakota","Minnesota","01-16-2025","Commercial Turkey Meat Bird","79500"
"Mercer","Ohio","01-16-2025","Commercial Table Egg Layer","1432000"
"Riverside","California","01-16-2025","Commercial Table Egg Pullets","208200"
"Jay","Indiana","01-16-2025","Commercial Table Egg Layer","353300"
"Barnstable","Massachusetts","01-16-2024","WOAH Non-Poultry","150"
"Mitchell","Kansas","01-16-2024","WOAH Poultry","220"
"Cascade","Montana","01-16-2024","WOAH Non-Poultry","50"
"Spink","South Dakota","01-16-2024","Commercial Raised for Release Upland Game Bird","1900"
"New London","Connecticut","01-15-2025","WOAH Non-Poultry","20"
"Darke","Ohio","01-15-2025","Commercial Turkey Meat Bird","15800"
"Owyhee","Idaho","01-15-2025","WOAH Non-Poultry","30"
"Darke","Ohio","01-15-2025","Commercial Turkey Meat Bird","5300"
"Mercer","Ohio","01-15-2025","Commercial Turkey Meat Bird","10400"
"Darke","Ohio","01-15-2025","Commercial Turkey Meat Bird","5300"
"Hillsborough","Florida","01-14-2025","Live Bird Market","280"
"Orange","Florida","01-14-2025","Live Bird Market","1300"
"Caroline","Maryland","01-14-2025","Commercial Broiler Production","228300"
"Newton","Missouri","01-14-2025","Commercial Table Egg Layer","1585100"
"Mercer","Ohio","01-14-2025","Commercial Turkey Meat Bird","4500"
"Darke","Ohio","01-14-2025","Commercial Turkey Meat Bird","9900"
"Culebra","Puerto Rico","01-13-2025","WOAH Poultry","380"
"Phillips","Kansas","01-13-2025","WOAH Non-Poultry","60"
"Tehama","California","01-12-2023","WOAH Poultry","23700"
"Mitchell","Kansas","01-11-2024","Commercial Raised for Release Upland Game Bird","1400"
"Douglas","Oregon","01-11-2023","WOAH Non-Poultry","0"
"Gregory","South Dakota","01-10-2025","WOAH Non-Poultry","90"
"Sherburne","Minnesota","01-10-2024","WOAH Non-Poultry","10"
"Mitchell","Kansas","01-10-2024","Commercial Upland Gamebird Producer","32000"
"Mitchell","Kansas","01-10-2024","Commercial Upland Gamebird Producer","3700"
"York","Maine","01-10-2024","WOAH Non-Poultry","60"
"Cascade","Montana","01-10-2023","WOAH Non-Poultry","10"
"Burnet","Texas","01-09-2025","WOAH Non-Poultry","10"
"Kent","Delaware","01-09-2025","Commercial Broiler Production","194800"
"Brazoria","Texas","01-09-2025","WOAH Non-Poultry","90"
"Clayton","Georgia","01-09-2025","WOAH Non-Poultry","10"
"Oakland","Michigan","01-09-2025","WOAH Non-Poultry","100"
"Darke","Ohio","01-09-2025","Commercial Turkey Meat Bird","21100"
"Canyon","Idaho","01-09-2025","WOAH Non-Poultry","50"
"Union","Oregon","01-09-2025","WOAH Poultry","380"
"Sonoma","California","01-09-2023","WOAH Non-Poultry","6"
"Sonoma","California","01-09-2023","WOAH Non-Poultry","20"
"Scotts Bluff","Nebraska","01-09-2023","WOAH Non-Poultry","7"
"San Joaquin","California","01-09-2023","WOAH Non-Poultry","10"
"Darke","Ohio","01-08-2025","Commercial Table Egg Layer","245300"
"Perry","Missouri","01-08-2025","WOAH Non-Poultry","20"
"Sacramento","California","01-08-2024","WOAH Non-Poultry","30"
"Arapahoe","Colorado","01-08-2024","WOAH Non-Poultry","20"
"Merced","California","01-08-2024","WOAH Non-Poultry","30"
"Jay","Indiana","01-07-2025","Commercial Turkey Meat Bird","20300"
"Hanson","South Dakota","01-07-2025","WOAH Non-Poultry","50"
"Hyde","North Carolina","01-07-2025","Commercial Table Egg Layer","3314900"
"Clinton","Iowa","01-07-2025","WOAH Non-Poultry","40"
"Palm Beach","Florida","01-07-2025","WOAH Non-Poultry","4"
"Olmsted","Minnesota","01-06-2025","WOAH Non-Poultry","120"
"Weld","Colorado","01-06-2023","WOAH Non-Poultry","40"
"Thurston","Washington","01-06-2023","WOAH Non-Poultry","120"
"Washburn","Wisconsin","01-05-2024","Commercial Turkey Meat Bird","41000"
"Codington","South Dakota","01-05-2023","WOAH Poultry","140"
"Kent","Delaware","01-04-2025","Commercial Broiler Production","125000"
"Ottawa","Michigan","01-04-2025","Commercial Turkey Meat Bird","47000"
"Ottawa","Michigan","01-04-2025","Commercial Turkey Meat Bird","55200"
"Rice","Kansas","01-04-2024","Commercial Table Egg Pullets","240000"
"Anderson","Kansas","01-04-2023","Commercial Upland Gamebird Producer","8900"
"Josephine","Oregon","01-04-2023","WOAH Non-Poultry","30"
"Johnson","Missouri","01-04-2023","WOAH Non-Poultry","30"
"Stanislaus","California","01-03-2025","Commercial Broiler Production","0"
"Canyon","Idaho","01-03-2025","WOAH Non-Poultry","20"
"Butte","California","01-03-2025","Commercial Raised for Release Upland Game Bird","44700"
"Canyon","Idaho","01-03-2025","WOAH Non-Poultry","20"
"Pocahontas","West Virginia","01-03-2025","WOAH Poultry","9"
"Canyon","Idaho","01-03-2025","WOAH Non-Poultry","70"
"Sharp","Arkansas","01-03-2025","WOAH Non-Poultry","20"
"Canyon","Idaho","01-03-2025","WOAH Non-Poultry","20"
"Sonoma","California","01-03-2024","Commercial Broiler Production","77900"
"Merced","California","01-03-2024","Commercial Broiler Production","534800"
"Merced","California","01-03-2024","Commercial Table Egg Layer","764300"
"Stanislaus","California","01-02-2025","Commercial Table Egg Layer","75200"
